,var_freq,var_count,var_norm_count,var_cum_norm_count,var_cum_count,var_norm_freq,var_log_freq,var_log_cum_count,cum_norm_y_hat,cum_y_hat
0,1,4195,1.0,1.0,4195,0.0,0.0,3.622731965164719,0.8440702403911473,3541.030588200472
1,2,1733,0.4129709108249881,1.4129709108249882,5928,0.0053475935828877,0.3010299956639812,3.7729081949712717,1.2250308160630539,5139.779242568447
2,3,880,0.20958512160228898,1.6225560324272772,6808,0.0106951871657754,0.47712125471966244,3.8330195470765314,1.4479818524150687,6075.835889028798
3,4,542,0.12899380066762042,1.7515498330948975,7350,0.016042780748663103,0.6020599913279624,3.8662873390841948,1.606253974935953,6740.629170881387
4,5,622,0.148068669527897,1.8996185026227945,7972,0.0213903743315508,0.6989700043360189,3.90156729002845,1.729090960583335,7256.807488686507
5,6,353,0.08392942298521698,1.9835479256080115,8325,0.026737967914438502,0.7781512503836436,3.9203842421783577,1.8295173001026797,7678.995556630639
6,7,309,0.07343824511206486,2.0569861707200765,8634,0.03208556149732621,0.8450980400142568,3.9362120443202486,1.914480063692281,8036.329387125426
7,8,215,0.05102527420123987,2.1080114449213165,8849,0.0374331550802139,0.9030899869919435,3.9468941951023266,1.9881257513325181,8346.199401088581
8,9,157,0.03719599427753934,2.145207439198856,9006,0.0427807486631016,0.9542425094393249,3.954531942626914,2.0531287902856548,8619.822146458037
9,10,124,0.029327610872675252,2.1745350500715315,9130,0.0481283422459893,1.0,3.960470777534299,2.111315174458241,8864.855841677863
10,11,110,0.025989508822126847,2.200524558893658,9240,0.053475935828877004,1.041392685158225,3.9656719712201065,2.1639872588787057,9086.762563737291
11,12,134,0.03171196948020982,2.232236528373868,9374,0.058823529411764705,1.0791812460476249,3.9719249491841913,2.2121066217662246,9289.575171687546
12,13,90,0.021220791607057702,2.253457319980926,9464,0.06417112299465241,1.1139433523068367,3.976074731619874,2.256403475462321,9476.356176088973
13,14,65,0.015259895088221268,2.268717215069147,9529,0.06951871657754011,1.146128035678238,3.9790473269479647,2.297445412260913,9649.48605902227
14,15,196,0.046494992846924176,2.3152122079160713,9725,0.0748663101604278,1.1760912590556813,3.987889609997745,2.3356823736548904,9810.851875108612
15,16,110,0.025989508822126847,2.341201716738198,9835,0.08021390374331551,1.2041199826559248,3.9927743642553555,2.3714770757660517,9961.974855762823
16,17,90,0.021220791607057702,2.3624225083452557,9925,0.0855614973262032,1.2304489213782739,3.9967305154351527,2.4051261940617223,10104.099257894864
17,18,115,0.027181688125894134,2.38960419647115,10040,0.09090909090909091,1.255272505103306,4.001733712809001,2.4368754832025843,10238.25577655164
18,19,111,0.026227944682880304,2.41583214115403,10151,0.0962566844919786,1.2787536009528289,4.00650882777529,2.466930803182322,10365.30778854666
19,20,92,0.021697663328564615,2.437529804482595,10243,0.10160427807486631,1.3010299956639813,4.0104271727170495,2.4954663137496027,10485.985719865834
20,21,82,0.019313304721030045,2.456843109203625,10325,0.10695187165775401,1.3222192947339193,4.013890060328438,2.522630667320982,10600.913018744199
21,22,134,0.03171196948020982,2.488555078683835,10459,0.11229946524064172,1.3424226808222062,4.019490162997508,2.54855175980515,10710.6260806228
22,23,79,0.01859799713876967,2.5071530758226044,10538,0.11764705882352941,1.3617278360175928,4.022758194236769,2.57334042443631,10815.589740085885
23,24,56,0.013113972341440152,2.5202670481640443,10594,0.12299465240641712,1.380211241711606,4.025059968599579,2.5970933388280173,10916.209463044705
24,25,75,0.01764425369575584,2.5379113018598,10669,0.12834224598930483,1.3979400086720377,4.0281237151288405,2.6198953381610863,11012.841048247596
25,26,76,0.0178826895565093,2.5557939914163095,10745,0.13368983957219252,1.414973347970818,4.031206419827462,2.641821274382437,11105.79842475994
26,27,35,0.008106819265617548,2.563900810681927,10780,0.13903743315508021,1.4313637641589874,4.03261876085072,2.6629375243162485,11195.359976982345
27,28,48,0.011206485455412495,2.5751072961373396,10828,0.1443850267379679,1.4471580313422192,4.034548247098469,2.6833032233532776,11281.773718743645
28,29,50,0.011683357176919408,2.586790653314259,10878,0.1497326203208556,1.462397997898956,4.036549054479153,2.7029712825442402,11365.261558990542
29,30,44,0.010252742012398664,2.5970433953266574,10922,0.15508021390374332,1.4771212547196624,4.038302172199525,2.72198923318615,11446.022843982711
30,31,39,0.009060562708631379,2.606103958035289,10961,0.16042780748663102,1.4913616938342726,4.039850177749664,2.7403999328639657,11524.23731843147
31,32,43,0.010014306151645207,2.6161182641869343,11004,0.1657754010695187,1.505149978319906,4.041550581717646,2.7582421593540403,11600.067616330842
32,33,35,0.008106819265617548,2.624225083452552,11039,0.1711229946524064,1.5185139398778875,4.0429297333431595,2.775551113109259,11673.661368380228
33,34,31,0.00715307582260372,2.631378159275156,11070,0.17647058823529413,1.5314789170422551,4.044147620878723,2.792358844704495,11745.152994690648
34,35,54,0.012637100619933238,2.644015259895089,11124,0.18181818181818182,1.5440680443502757,4.046260980192122,2.8086946203061416,11814.665237563955
35,36,54,0.012637100619933238,2.656652360515022,11178,0.18716577540106952,1.5563025007672873,4.048364105279886,2.824585235642189,11882.31047828334
36,37,34,0.007868383404864092,2.664520743919886,11212,0.1925133689839572,1.568201724066995,4.049683089088249,2.8400552869493367,11948.191873465516
37,38,70,0.016452074391988557,2.680972818311875,11282,0.19786096256684493,1.5797835966168101,4.052386095389375,2.855127405773601,12012.404339814479
38,39,21,0.004768717215069146,2.685741535526944,11303,0.20320855614973263,1.591064607026499,4.05319372760087,2.8698224632739766,12075.035410971053
39,40,31,0.00715307582260372,2.6928946113495478,11334,0.20855614973262032,1.6020599913279625,4.054383208305477,2.8841597486527917,12136.165985849804
40,41,50,0.011683357176919408,2.704577968526467,11384,0.21390374331550802,1.6127838567197355,4.056294887076228,2.898157125554235,12195.870984574456
41,42,18,0.004053409632808774,2.708631378159276,11402,0.2192513368983957,1.6232492903979006,4.056981036668113,2.9118311696145156,12254.219925363273
42,43,23,0.005245588936576061,2.713876967095852,11425,0.22459893048128343,1.6334684555795866,4.057856208741888,2.9251972898271106,12311.277433534897
43,44,28,0.006437768240343348,2.720314735336195,11453,0.22994652406417113,1.6434526764861874,4.058919260718885,2.9382698359579535,12367.103692007651
44,45,28,0.006437768240343348,2.7267525035765385,11481,0.23529411764705882,1.6532125137753437,4.059979716944162,2.9510621938886743,12421.754841169095
45,46,36,0.008345255126371007,2.7350977587029095,11517,0.24064171122994651,1.662757831681574,4.061339366837068,2.963586870482686,12475.28333480438
46,47,26,0.005960896518836433,2.741058655221746,11543,0.24598930481283424,1.6720978579357175,4.062318695658775,2.975855569329724,12527.738257768857
47,48,26,0.005960896518836433,2.7470195517405824,11569,0.25133689839572193,1.6812412373755872,4.06329582107352,2.987879258512976,12579.165610203416
48,49,8,0.0016690510252742013,2.748688602765857,11577,0.25668449197860965,1.6901960800285136,4.063596033291059,2.999668231397436,12629.608562480842
49,50,12,0.0026227944682880307,2.751311397234145,11589,0.2620320855614973,1.6989700043360187,4.0640459628644825,3.01123216127462,12679.107684385752
50,51,22,0.005007153075822604,2.7563185503099676,11611,0.26737967914438504,1.7075701760979363,4.064869625059806,3.0225801506039716,12727.701151633053
51,52,26,0.005960896518836433,2.762279446828804,11637,0.2727272727272727,1.7160033436347992,4.065841034319719,3.0337207754726023,12775.424932332091
52,53,19,0.004291845493562232,2.766571292322366,11656,0.27807486631016043,1.7242758696007892,4.066549538761934,3.04466212582588,12822.312955713738
53,54,40,0.009298998569384835,2.775870290891751,11696,0.28342245989304815,1.7323937598229686,4.068037359613785,3.0554118419399856,12868.397265096297
54,55,39,0.009060562708631379,2.7849308536003825,11735,0.2887700534759358,1.7403626894942439,4.069483093934611,3.0659771475538946,12913.708156841032
55,56,57,0.01335240820219361,2.798283261802576,11792,0.29411764705882354,1.7481880270062005,4.071587470514976,3.0763648800170813,12958.274306791638
56,57,60,0.014067715784453982,2.8123509775870303,11852,0.2994652406417112,1.7558748556724915,4.073791642808014,3.0865815177749027,13002.122885547942
57,58,29,0.006676204101096805,2.819027181688127,11881,0.3048128342245989,1.7634279935629373,4.074852995881248,3.096633205469061,13045.279663737241
58,59,41,0.009537434430138292,2.8285646161182654,11922,0.31016042780748665,1.7708520116421442,4.076349117493459,3.1065257768948413,13087.769108296963
59,60,45,0.010491177873152123,2.8390557939914176,11967,0.3155080213903743,1.7781512503836436,4.077985291029502,3.116264776035223,13129.614470691724
60,61,112,0.026466380543633764,2.865522174535051,12079,0.32085561497326204,1.7853298350107671,4.082030981267012,3.1258554763589927,13170.837867849616
61,62,201,0.047687172150691466,2.9132093466857425,12280,0.32620320855614976,1.792391689498254,4.089198366805149,3.1353028985593028,13211.460356557716
62,63,2777,0.6618979494515975,3.57510729613734,15057,0.3315508021390374,1.7993405494535817,4.177738450401719,3.144611826873188,13251.50200190615
63,64,9,0.0019074868860276585,3.5770147830233676,15066,0.33689839572192515,1.806179973983887,4.177997963096566,3.153786824123472,13290.98194037384
64,65,4,0.000715307582260372,3.577730090605628,15070,0.3422459893048128,1.8129133566428555,4.178113252314632,3.162832245601521,13329.918438052779
65,66,6,0.0011921793037672865,3.5789222699093957,15076,0.34759358288770054,1.8195439355418688,4.178286128777567,3.1717522518933947,13368.328944440897
66,67,2,0.0002384358607534573,3.5791607057701493,15078,0.35294117647058826,1.8260748027008264,4.17834373897622,3.180550820748067,13406.230142217391
67,68,3,0.0004768717215069146,3.5796375774916562,15081,0.3582887700534759,1.8325089127062364,4.1784301399477375,3.1892317580754934,13443.637993368618
68,69,6,0.0011921793037672865,3.5808297567954237,15087,0.36363636363636365,1.8388490907372552,4.178602890340589,3.1977987081434094,13480.567781953458
69,72,3,0.0004768717215069146,3.5813066285169306,15090,0.37967914438502676,1.8573324964312685,4.17868923977559,3.222849847167481,13586.632259020414
70,74,3,0.0004768717215069146,3.5817835002384375,15093,0.39037433155080214,1.8692317197309762,4.178775572045411,3.2390410237001106,13655.538053398262
71,75,3,0.0004768717215069146,3.5822603719599444,15096,0.39572192513368987,1.8750612633917,4.178861887156875,3.2469926421770197,13689.88714129042
72,76,2,0.0002384358607534573,3.582498807820698,15098,0.40106951871657753,1.8808135922807914,4.178919421035465,3.254851975844531,13723.849186691961
73,77,1,0.0,3.582498807820698,15099,0.40641711229946526,1.8864907251724818,4.178948185116802,3.2626216674293573,13757.435273198724
74,78,3,0.0004768717215069146,3.582975679542205,15102,0.4117647058823529,1.8920946026904804,4.1790344659320064,3.2703042634336725,13790.656080840821
75,80,1,0.0,3.582975679542205,15103,0.42245989304812837,1.9030899869919435,4.17906322239498,3.285417904011183,13855.0426894229
76,81,2,0.0002384358607534573,3.5832141154029586,15105,0.42780748663101603,1.9084850188786497,4.179120729609299,3.292853605028995,13887.228019491604
77,82,2,0.0002384358607534573,3.5834525512637123,15107,0.43315508021390375,1.9138138523837167,4.1791782292097945,3.3002115321303336,13919.087165754618
78,85,1,0.0,3.5834525512637123,15108,0.44919786096256686,1.9294189257142929,4.179206976155488,3.3218396879365173,14010.795651205752
79,86,1,0.0,3.5834525512637123,15109,0.45454545454545453,1.9344984512435677,4.179235721198481,3.3289072027912425,14041.436808506469
80,87,2,0.0002384358607534573,3.583690987124466,15111,0.45989304812834225,1.9395192526186185,4.179293205577373,3.3359069626728797,14071.793801450054
81,89,3,0.0004768717215069146,3.584167858845973,15114,0.47058823529411764,1.9493900066449128,4.179379417881757,3.349710449561371,14130.685625460388
82,90,1,0.0,3.584167858845973,15115,0.47593582887700536,1.9542425094393248,4.179408151513836,3.3565176610238723,14160.235070334118
83,91,2,0.0002384358607534573,3.5844062947067266,15117,0.48128342245989303,1.9590413923210936,4.179465613075431,3.36326409173148,14189.529600721826
84,94,2,0.0002384358607534573,3.5846447305674802,15119,0.49732620320855614,1.9731278535996986,4.179523067035285,3.383154707333688,14273.950842557484
85,96,2,0.0002384358607534573,3.584883166428234,15121,0.5080213903743316,1.9822712330395684,4.179580513395409,3.396139837488363,14329.41047842619
86,98,1,0.0,3.584883166428234,15122,0.5187165775401069,1.9912260756924949,4.1796092337262,3.4089183057712944,14384.003374404805
87,100,2,0.0002384358607534573,3.5851216022889876,15124,0.5294117647058824,2.0,4.179666668690498,3.4215011297551428,14437.775738193064
88,101,1,0.0,3.5851216022889876,15125,0.5347593582887701,2.0043213737826426,4.179695383324507,3.4277224863419633,14464.86810771819
89,106,1,0.0,3.5851216022889876,15126,0.5614973262032086,2.0253058652647704,4.17972409606009,3.458179079977981,14593.603061427648
90,109,1,0.0,3.5851216022889876,15127,0.5775401069518716,2.037426497940624,4.179752806897498,3.475976020940152,14669.243431822993
91,114,1,0.0,3.5851216022889876,15128,0.6042780748663101,2.0569048513364727,4.179781515836983,3.5049410917936257,14791.722938982462
92,116,1,0.0,3.5851216022889876,15129,0.6149732620320856,2.0644579892269186,4.179810222878796,3.5163087248381544,14840.398791971216
