, ,Number of genomes,gene_class
2116,Cluster 2116,2,unique
2117,Cluster 2117,1,unique
2118,Cluster 2118,62,accessory
2119,Cluster 2119,63,accessory
2120,Cluster 2120,38,accessory
2121,Cluster 2121,63,accessory
2122,Cluster 2122,12,unique
2123,Cluster 2123,53,accessory
2124,Cluster 2124,3,unique
2125,Cluster 2125,56,accessory
2126,Cluster 2126,42,accessory
2127,Cluster 2127,63,accessory
2128,Cluster 2128,63,accessory
2129,Cluster 2129,63,accessory
2130,Cluster 2130,63,accessory
2131,Cluster 2131,55,accessory
2132,Cluster 2132,62,accessory
2133,Cluster 2133,6,unique
2134,Cluster 2134,63,accessory
2135,Cluster 2135,6,unique
2136,Cluster 2136,1,unique
2137,Cluster 2137,5,unique
2138,Cluster 2138,5,unique
2139,Cluster 2139,3,unique
2140,Cluster 2140,2,unique
2141,Cluster 2141,63,accessory
2142,Cluster 2142,61,accessory
2143,Cluster 2143,38,accessory
2144,Cluster 2144,63,accessory
2145,Cluster 2145,63,accessory
2146,Cluster 2146,62,accessory
2147,Cluster 2147,53,accessory
2148,Cluster 2148,44,accessory
2149,Cluster 2149,2,unique
2150,Cluster 2150,5,unique
2151,Cluster 2151,1,unique
2152,Cluster 2152,12,unique
2153,Cluster 2153,63,accessory
2154,Cluster 2154,59,accessory
2155,Cluster 2155,63,accessory
2156,Cluster 2156,63,accessory
2157,Cluster 2157,55,accessory
2158,Cluster 2158,63,accessory
2159,Cluster 2159,63,accessory
2160,Cluster 2160,63,accessory
2161,Cluster 2161,26,accessory
2162,Cluster 2162,25,accessory
2163,Cluster 2163,11,unique
2164,Cluster 2164,2,unique
2165,Cluster 2165,3,unique
2166,Cluster 2166,1,unique
2167,Cluster 2167,1,unique
2168,Cluster 2168,1,unique
2169,Cluster 2169,45,accessory
2170,Cluster 2170,63,accessory
2171,Cluster 2171,63,accessory
2172,Cluster 2172,63,accessory
2173,Cluster 2173,5,unique
2174,Cluster 2174,13,unique
2175,Cluster 2175,3,unique
2176,Cluster 2176,1,unique
2177,Cluster 2177,1,unique
2178,Cluster 2178,2,unique
2179,Cluster 2179,1,unique
2180,Cluster 2180,63,accessory
2181,Cluster 2181,63,accessory
2182,Cluster 2182,63,accessory
2183,Cluster 2183,63,accessory
2184,Cluster 2184,8,unique
2185,Cluster 2185,63,accessory
2186,Cluster 2186,63,accessory
2187,Cluster 2187,63,accessory
2188,Cluster 2188,63,accessory
2189,Cluster 2189,63,accessory
2190,Cluster 2190,29,accessory
2191,Cluster 2191,1,unique
2192,Cluster 2192,47,accessory
2193,Cluster 2193,1,unique
2194,Cluster 2194,63,accessory
2195,Cluster 2195,63,accessory
2196,Cluster 2196,57,accessory
2197,Cluster 2197,62,accessory
2198,Cluster 2198,63,accessory
2199,Cluster 2199,35,accessory
2200,Cluster 2200,15,accessory
2201,Cluster 2201,8,unique
2202,Cluster 2202,2,unique
2203,Cluster 2203,11,unique
2204,Cluster 2204,1,unique
2205,Cluster 2205,19,accessory
2206,Cluster 2206,1,unique
2207,Cluster 2207,2,unique
2208,Cluster 2208,1,unique
2209,Cluster 2209,2,unique
2210,Cluster 2210,23,accessory
2211,Cluster 2211,1,unique
2212,Cluster 2212,11,unique
2213,Cluster 2213,2,unique
2214,Cluster 2214,1,unique
2215,Cluster 2215,63,accessory
2216,Cluster 2216,63,accessory
2217,Cluster 2217,38,accessory
2218,Cluster 2218,63,accessory
2219,Cluster 2219,58,accessory
2220,Cluster 2220,63,accessory
2221,Cluster 2221,63,accessory
2222,Cluster 2222,1,unique
2223,Cluster 2223,5,unique
2224,Cluster 2224,1,unique
2225,Cluster 2225,5,unique
2226,Cluster 2226,19,accessory
2227,Cluster 2227,1,unique
2228,Cluster 2228,2,unique
2229,Cluster 2229,4,unique
2230,Cluster 2230,1,unique
2231,Cluster 2231,63,accessory
2232,Cluster 2232,63,accessory
2233,Cluster 2233,63,accessory
2234,Cluster 2234,63,accessory
2235,Cluster 2235,63,accessory
2236,Cluster 2236,42,accessory
2237,Cluster 2237,22,accessory
2238,Cluster 2238,21,accessory
2239,Cluster 2239,1,unique
2240,Cluster 2240,1,unique
2241,Cluster 2241,57,accessory
2242,Cluster 2242,63,accessory
2243,Cluster 2243,63,accessory
2244,Cluster 2244,63,accessory
2245,Cluster 2245,63,accessory
2246,Cluster 2246,63,accessory
2247,Cluster 2247,41,accessory
2248,Cluster 2248,12,unique
2249,Cluster 2249,21,accessory
2250,Cluster 2250,26,accessory
2251,Cluster 2251,39,accessory
2252,Cluster 2252,4,unique
2253,Cluster 2253,1,unique
2254,Cluster 2254,1,unique
2255,Cluster 2255,63,accessory
2256,Cluster 2256,63,accessory
2257,Cluster 2257,63,accessory
2258,Cluster 2258,62,accessory
2259,Cluster 2259,61,accessory
2260,Cluster 2260,1,unique
2261,Cluster 2261,1,unique
2262,Cluster 2262,11,unique
2263,Cluster 2263,2,unique
2264,Cluster 2264,1,unique
2265,Cluster 2265,1,unique
2266,Cluster 2266,1,unique
2267,Cluster 2267,1,unique
2268,Cluster 2268,1,unique
2269,Cluster 2269,63,accessory
2270,Cluster 2270,48,accessory
2271,Cluster 2271,63,accessory
2272,Cluster 2272,63,accessory
2273,Cluster 2273,63,accessory
2274,Cluster 2274,63,accessory
2275,Cluster 2275,63,accessory
2276,Cluster 2276,24,accessory
2277,Cluster 2277,18,accessory
2278,Cluster 2278,2,unique
2279,Cluster 2279,5,unique
2280,Cluster 2280,12,unique
2281,Cluster 2281,72,accessory
2282,Cluster 2282,46,accessory
2283,Cluster 2283,1,unique
2284,Cluster 2284,4,unique
2285,Cluster 2285,1,unique
2286,Cluster 2286,35,accessory
2287,Cluster 2287,63,accessory
2288,Cluster 2288,63,accessory
2289,Cluster 2289,56,accessory
2290,Cluster 2290,2,unique
2291,Cluster 2291,9,unique
2292,Cluster 2292,1,unique
2293,Cluster 2293,3,unique
2294,Cluster 2294,1,unique
2295,Cluster 2295,1,unique
2296,Cluster 2296,1,unique
2297,Cluster 2297,63,accessory
2298,Cluster 2298,61,accessory
2299,Cluster 2299,63,accessory
2300,Cluster 2300,63,accessory
2301,Cluster 2301,2,unique
2302,Cluster 2302,55,accessory
2303,Cluster 2303,63,accessory
2304,Cluster 2304,2,unique
2305,Cluster 2305,63,accessory
2306,Cluster 2306,1,unique
2307,Cluster 2307,1,unique
2308,Cluster 2308,61,accessory
2309,Cluster 2309,63,accessory
2310,Cluster 2310,63,accessory
2311,Cluster 2311,24,accessory
2312,Cluster 2312,63,accessory
2313,Cluster 2313,21,accessory
2314,Cluster 2314,63,accessory
2315,Cluster 2315,2,unique
2316,Cluster 2316,46,accessory
2317,Cluster 2317,3,unique
2318,Cluster 2318,1,unique
2319,Cluster 2319,1,unique
2320,Cluster 2320,1,unique
2321,Cluster 2321,1,unique
2322,Cluster 2322,63,accessory
2323,Cluster 2323,61,accessory
2324,Cluster 2324,26,accessory
2325,Cluster 2325,62,accessory
2326,Cluster 2326,58,accessory
2327,Cluster 2327,2,unique
2328,Cluster 2328,1,unique
2329,Cluster 2329,1,unique
2330,Cluster 2330,4,unique
2331,Cluster 2331,1,unique
2332,Cluster 2332,63,accessory
2333,Cluster 2333,62,accessory
2334,Cluster 2334,63,accessory
2335,Cluster 2335,65,accessory
2336,Cluster 2336,31,accessory
2337,Cluster 2337,44,accessory
2338,Cluster 2338,52,accessory
2339,Cluster 2339,56,accessory
2340,Cluster 2340,12,unique
2341,Cluster 2341,22,accessory
2342,Cluster 2342,25,accessory
2343,Cluster 2343,1,unique
2344,Cluster 2344,61,accessory
2345,Cluster 2345,1,unique
2346,Cluster 2346,3,unique
2347,Cluster 2347,1,unique
2348,Cluster 2348,63,accessory
2349,Cluster 2349,35,accessory
2350,Cluster 2350,20,accessory
2351,Cluster 2351,9,unique
2352,Cluster 2352,63,accessory
2353,Cluster 2353,1,unique
2354,Cluster 2354,1,unique
2355,Cluster 2355,5,unique
2356,Cluster 2356,63,accessory
2357,Cluster 2357,1,unique
2358,Cluster 2358,15,accessory
2359,Cluster 2359,63,accessory
2360,Cluster 2360,63,accessory
2361,Cluster 2361,61,accessory
2362,Cluster 2362,38,accessory
2363,Cluster 2363,1,unique
2364,Cluster 2364,21,accessory
2365,Cluster 2365,30,accessory
2366,Cluster 2366,12,unique
2367,Cluster 2367,7,unique
2368,Cluster 2368,4,unique
2369,Cluster 2369,1,unique
2370,Cluster 2370,8,unique
2371,Cluster 2371,1,unique
2372,Cluster 2372,1,unique
2373,Cluster 2373,63,accessory
2374,Cluster 2374,15,accessory
2375,Cluster 2375,1,unique
2376,Cluster 2376,3,unique
2377,Cluster 2377,1,unique
2378,Cluster 2378,2,unique
2379,Cluster 2379,3,unique
2380,Cluster 2380,1,unique
2381,Cluster 2381,63,accessory
2382,Cluster 2382,63,accessory
2383,Cluster 2383,63,accessory
2384,Cluster 2384,63,accessory
2385,Cluster 2385,63,accessory
2386,Cluster 2386,38,accessory
2387,Cluster 2387,16,accessory
2388,Cluster 2388,32,accessory
2389,Cluster 2389,5,unique
2390,Cluster 2390,4,unique
2391,Cluster 2391,2,unique
2392,Cluster 2392,15,accessory
2393,Cluster 2393,63,accessory
2394,Cluster 2394,61,accessory
2395,Cluster 2395,63,accessory
2396,Cluster 2396,11,unique
2397,Cluster 2397,63,accessory
2398,Cluster 2398,12,unique
2399,Cluster 2399,30,accessory
2400,Cluster 2400,9,unique
2401,Cluster 2401,15,accessory
2402,Cluster 2402,4,unique
2403,Cluster 2403,1,unique
2404,Cluster 2404,1,unique
2405,Cluster 2405,19,accessory
2406,Cluster 2406,1,unique
2407,Cluster 2407,1,unique
2408,Cluster 2408,62,accessory
2409,Cluster 2409,63,accessory
2410,Cluster 2410,63,accessory
2411,Cluster 2411,63,accessory
2412,Cluster 2412,63,accessory
2413,Cluster 2413,63,accessory
2414,Cluster 2414,63,accessory
2415,Cluster 2415,6,unique
2416,Cluster 2416,7,unique
2417,Cluster 2417,63,accessory
2418,Cluster 2418,63,accessory
2419,Cluster 2419,63,accessory
2420,Cluster 2420,16,accessory
2421,Cluster 2421,8,unique
2422,Cluster 2422,4,unique
2423,Cluster 2423,5,unique
2424,Cluster 2424,28,accessory
2425,Cluster 2425,12,unique
2426,Cluster 2426,5,unique
2427,Cluster 2427,14,accessory
2428,Cluster 2428,3,unique
2429,Cluster 2429,63,accessory
2430,Cluster 2430,63,accessory
2431,Cluster 2431,33,accessory
2432,Cluster 2432,63,accessory
2433,Cluster 2433,51,accessory
2434,Cluster 2434,64,accessory
2435,Cluster 2435,3,unique
2436,Cluster 2436,6,unique
2437,Cluster 2437,1,unique
2438,Cluster 2438,11,unique
2439,Cluster 2439,58,accessory
2440,Cluster 2440,63,accessory
2441,Cluster 2441,63,accessory
2442,Cluster 2442,63,accessory
2443,Cluster 2443,63,accessory
2444,Cluster 2444,63,accessory
2445,Cluster 2445,38,accessory
2446,Cluster 2446,63,accessory
2447,Cluster 2447,2,unique
2448,Cluster 2448,15,accessory
2449,Cluster 2449,1,unique
2450,Cluster 2450,11,unique
2451,Cluster 2451,29,accessory
2452,Cluster 2452,63,accessory
2453,Cluster 2453,1,unique
2454,Cluster 2454,3,unique
2455,Cluster 2455,1,unique
2456,Cluster 2456,1,unique
2457,Cluster 2457,8,unique
2458,Cluster 2458,63,accessory
2459,Cluster 2459,63,accessory
2460,Cluster 2460,63,accessory
2461,Cluster 2461,63,accessory
2462,Cluster 2462,63,accessory
2463,Cluster 2463,3,unique
2464,Cluster 2464,3,unique
2465,Cluster 2465,4,unique
2466,Cluster 2466,19,accessory
2467,Cluster 2467,1,unique
2468,Cluster 2468,1,unique
2469,Cluster 2469,63,accessory
2470,Cluster 2470,63,accessory
2471,Cluster 2471,63,accessory
2472,Cluster 2472,63,accessory
2473,Cluster 2473,63,accessory
2474,Cluster 2474,63,accessory
2475,Cluster 2475,40,accessory
2476,Cluster 2476,51,accessory
2477,Cluster 2477,63,accessory
2478,Cluster 2478,4,unique
2479,Cluster 2479,13,unique
2480,Cluster 2480,1,unique
2481,Cluster 2481,2,unique
2482,Cluster 2482,1,unique
2483,Cluster 2483,61,accessory
2484,Cluster 2484,16,accessory
2485,Cluster 2485,24,accessory
2486,Cluster 2486,62,accessory
2487,Cluster 2487,63,accessory
2488,Cluster 2488,63,accessory
2489,Cluster 2489,61,accessory
2490,Cluster 2490,57,accessory
2491,Cluster 2491,63,accessory
2492,Cluster 2492,38,accessory
2493,Cluster 2493,24,accessory
2494,Cluster 2494,25,accessory
2495,Cluster 2495,18,accessory
2496,Cluster 2496,63,accessory
2497,Cluster 2497,1,unique
2498,Cluster 2498,3,unique
2499,Cluster 2499,63,accessory
2500,Cluster 2500,59,accessory
2501,Cluster 2501,63,accessory
2502,Cluster 2502,63,accessory
2503,Cluster 2503,36,accessory
2504,Cluster 2504,3,unique
2505,Cluster 2505,32,accessory
2506,Cluster 2506,20,accessory
2507,Cluster 2507,25,accessory
2508,Cluster 2508,1,unique
2509,Cluster 2509,1,unique
2510,Cluster 2510,6,unique
2511,Cluster 2511,4,unique
2512,Cluster 2512,1,unique
2513,Cluster 2513,1,unique
2514,Cluster 2514,1,unique
2515,Cluster 2515,63,accessory
2516,Cluster 2516,63,accessory
2517,Cluster 2517,26,accessory
2518,Cluster 2518,2,unique
2519,Cluster 2519,1,unique
2520,Cluster 2520,4,unique
2521,Cluster 2521,5,unique
2522,Cluster 2522,3,unique
2523,Cluster 2523,8,unique
2524,Cluster 2524,1,unique
2525,Cluster 2525,2,unique
2526,Cluster 2526,1,unique
2527,Cluster 2527,5,unique
2528,Cluster 2528,4,unique
2529,Cluster 2529,63,accessory
2530,Cluster 2530,62,accessory
2531,Cluster 2531,16,accessory
2532,Cluster 2532,63,accessory
2533,Cluster 2533,63,accessory
2534,Cluster 2534,2,unique
2535,Cluster 2535,15,accessory
2536,Cluster 2536,13,unique
2537,Cluster 2537,1,unique
2538,Cluster 2538,4,unique
2539,Cluster 2539,6,unique
2540,Cluster 2540,2,unique
2541,Cluster 2541,1,unique
2542,Cluster 2542,63,accessory
2543,Cluster 2543,63,accessory
2544,Cluster 2544,63,accessory
2545,Cluster 2545,63,accessory
2546,Cluster 2546,2,unique
2547,Cluster 2547,6,unique
2548,Cluster 2548,2,unique
2549,Cluster 2549,5,unique
2550,Cluster 2550,6,unique
2551,Cluster 2551,5,unique
2552,Cluster 2552,37,accessory
2553,Cluster 2553,61,accessory
2554,Cluster 2554,61,accessory
2555,Cluster 2555,38,accessory
2556,Cluster 2556,38,accessory
2557,Cluster 2557,63,accessory
2558,Cluster 2558,81,accessory
2559,Cluster 2559,27,accessory
2560,Cluster 2560,2,unique
2561,Cluster 2561,1,unique
2562,Cluster 2562,8,unique
2563,Cluster 2563,18,accessory
2564,Cluster 2564,2,unique
2565,Cluster 2565,87,accessory
2566,Cluster 2566,1,unique
2567,Cluster 2567,7,unique
2568,Cluster 2568,1,unique
2569,Cluster 2569,1,unique
2570,Cluster 2570,1,unique
2571,Cluster 2571,1,unique
2572,Cluster 2572,1,unique
2573,Cluster 2573,63,accessory
2574,Cluster 2574,63,accessory
2575,Cluster 2575,8,unique
2576,Cluster 2576,63,accessory
2577,Cluster 2577,47,accessory
2578,Cluster 2578,48,accessory
2579,Cluster 2579,6,unique
2580,Cluster 2580,29,accessory
2581,Cluster 2581,8,unique
2582,Cluster 2582,7,unique
2583,Cluster 2583,2,unique
2584,Cluster 2584,1,unique
2585,Cluster 2585,3,unique
2586,Cluster 2586,1,unique
2587,Cluster 2587,3,unique
2588,Cluster 2588,2,unique
2589,Cluster 2589,1,unique
2590,Cluster 2590,1,unique
2591,Cluster 2591,3,unique
2592,Cluster 2592,54,accessory
2593,Cluster 2593,3,unique
2594,Cluster 2594,63,accessory
2595,Cluster 2595,63,accessory
2596,Cluster 2596,56,accessory
2597,Cluster 2597,34,accessory
2598,Cluster 2598,63,accessory
2599,Cluster 2599,63,accessory
2600,Cluster 2600,63,accessory
2601,Cluster 2601,63,accessory
2602,Cluster 2602,63,accessory
2603,Cluster 2603,3,unique
2604,Cluster 2604,2,unique
2605,Cluster 2605,44,accessory
2606,Cluster 2606,61,accessory
2607,Cluster 2607,15,accessory
2608,Cluster 2608,27,accessory
2609,Cluster 2609,9,unique
2610,Cluster 2610,1,unique
2611,Cluster 2611,1,unique
2612,Cluster 2612,36,accessory
2613,Cluster 2613,1,unique
2614,Cluster 2614,1,unique
2615,Cluster 2615,63,accessory
2616,Cluster 2616,51,accessory
2617,Cluster 2617,5,unique
2618,Cluster 2618,63,accessory
2619,Cluster 2619,62,accessory
2620,Cluster 2620,63,accessory
2621,Cluster 2621,63,accessory
2622,Cluster 2622,10,unique
2623,Cluster 2623,2,unique
2624,Cluster 2624,4,unique
2625,Cluster 2625,5,unique
2626,Cluster 2626,1,unique
2627,Cluster 2627,1,unique
2628,Cluster 2628,2,unique
2629,Cluster 2629,4,unique
2630,Cluster 2630,1,unique
2631,Cluster 2631,63,accessory
2632,Cluster 2632,63,accessory
2633,Cluster 2633,63,accessory
2634,Cluster 2634,54,accessory
2635,Cluster 2635,63,accessory
2636,Cluster 2636,63,accessory
2637,Cluster 2637,10,unique
2638,Cluster 2638,63,accessory
2639,Cluster 2639,18,accessory
2640,Cluster 2640,18,accessory
2641,Cluster 2641,3,unique
2642,Cluster 2642,5,unique
2643,Cluster 2643,2,unique
2644,Cluster 2644,1,unique
2645,Cluster 2645,38,accessory
2646,Cluster 2646,63,accessory
2647,Cluster 2647,63,accessory
2648,Cluster 2648,13,unique
2649,Cluster 2649,11,unique
2650,Cluster 2650,63,accessory
2651,Cluster 2651,63,accessory
2652,Cluster 2652,63,accessory
2653,Cluster 2653,7,unique
2654,Cluster 2654,5,unique
2655,Cluster 2655,63,accessory
2656,Cluster 2656,1,unique
2657,Cluster 2657,4,unique
2658,Cluster 2658,1,unique
2659,Cluster 2659,1,unique
2660,Cluster 2660,2,unique
2661,Cluster 2661,1,unique
2662,Cluster 2662,1,unique
2663,Cluster 2663,37,accessory
2664,Cluster 2664,26,accessory
2665,Cluster 2665,63,accessory
2666,Cluster 2666,42,accessory
2667,Cluster 2667,62,accessory
2668,Cluster 2668,63,accessory
2669,Cluster 2669,2,unique
2670,Cluster 2670,18,accessory
2671,Cluster 2671,1,unique
2672,Cluster 2672,5,unique
2673,Cluster 2673,2,unique
2674,Cluster 2674,5,unique
2675,Cluster 2675,1,unique
2676,Cluster 2676,5,unique
2677,Cluster 2677,63,accessory
2678,Cluster 2678,2,unique
2679,Cluster 2679,1,unique
2680,Cluster 2680,2,unique
2681,Cluster 2681,1,unique
2682,Cluster 2682,3,unique
2683,Cluster 2683,63,accessory
2684,Cluster 2684,63,accessory
2685,Cluster 2685,63,accessory
2686,Cluster 2686,63,accessory
2687,Cluster 2687,4,unique
2688,Cluster 2688,15,accessory
2689,Cluster 2689,1,unique
2690,Cluster 2690,2,unique
2691,Cluster 2691,1,unique
2692,Cluster 2692,1,unique
2693,Cluster 2693,3,unique
2694,Cluster 2694,1,unique
2695,Cluster 2695,63,accessory
2696,Cluster 2696,16,accessory
2697,Cluster 2697,63,accessory
2698,Cluster 2698,43,accessory
2699,Cluster 2699,63,accessory
2700,Cluster 2700,63,accessory
2701,Cluster 2701,1,unique
2702,Cluster 2702,3,unique
2703,Cluster 2703,1,unique
2704,Cluster 2704,1,unique
2705,Cluster 2705,1,unique
2706,Cluster 2706,63,accessory
2707,Cluster 2707,63,accessory
2708,Cluster 2708,63,accessory
2709,Cluster 2709,63,accessory
2710,Cluster 2710,62,accessory
2711,Cluster 2711,11,unique
2712,Cluster 2712,37,accessory
2713,Cluster 2713,22,accessory
2714,Cluster 2714,6,unique
2715,Cluster 2715,5,unique
2716,Cluster 2716,1,unique
2717,Cluster 2717,25,accessory
2718,Cluster 2718,7,unique
2719,Cluster 2719,62,accessory
2720,Cluster 2720,1,unique
2721,Cluster 2721,23,accessory
2722,Cluster 2722,1,unique
2723,Cluster 2723,3,unique
2724,Cluster 2724,1,unique
2725,Cluster 2725,1,unique
2726,Cluster 2726,63,accessory
2727,Cluster 2727,63,accessory
2728,Cluster 2728,61,accessory
2729,Cluster 2729,63,accessory
2730,Cluster 2730,10,unique
2731,Cluster 2731,1,unique
2732,Cluster 2732,4,unique
2733,Cluster 2733,1,unique
2734,Cluster 2734,1,unique
2735,Cluster 2735,1,unique
2736,Cluster 2736,1,unique
2737,Cluster 2737,2,unique
2738,Cluster 2738,4,unique
2739,Cluster 2739,2,unique
2740,Cluster 2740,4,unique
2741,Cluster 2741,63,accessory
2742,Cluster 2742,63,accessory
2743,Cluster 2743,63,accessory
2744,Cluster 2744,63,accessory
2745,Cluster 2745,39,accessory
2746,Cluster 2746,18,accessory
2747,Cluster 2747,1,unique
2748,Cluster 2748,1,unique
2749,Cluster 2749,1,unique
2750,Cluster 2750,1,unique
2751,Cluster 2751,1,unique
2752,Cluster 2752,3,unique
2753,Cluster 2753,1,unique
2754,Cluster 2754,1,unique
2755,Cluster 2755,60,accessory
2756,Cluster 2756,17,accessory
2757,Cluster 2757,45,accessory
2758,Cluster 2758,62,accessory
2759,Cluster 2759,4,unique
2760,Cluster 2760,1,unique
2761,Cluster 2761,5,unique
2762,Cluster 2762,63,accessory
2763,Cluster 2763,8,unique
2764,Cluster 2764,10,unique
2765,Cluster 2765,2,unique
2766,Cluster 2766,7,unique
2767,Cluster 2767,58,accessory
2768,Cluster 2768,62,accessory
2769,Cluster 2769,63,accessory
2770,Cluster 2770,38,accessory
2771,Cluster 2771,63,accessory
2772,Cluster 2772,62,accessory
2773,Cluster 2773,23,accessory
2774,Cluster 2774,1,unique
2775,Cluster 2775,1,unique
2776,Cluster 2776,4,unique
2777,Cluster 2777,4,unique
2778,Cluster 2778,1,unique
2779,Cluster 2779,54,accessory
2780,Cluster 2780,22,accessory
2781,Cluster 2781,63,accessory
2782,Cluster 2782,63,accessory
2783,Cluster 2783,33,accessory
2784,Cluster 2784,47,accessory
2785,Cluster 2785,6,unique
2786,Cluster 2786,41,accessory
2787,Cluster 2787,28,accessory
2788,Cluster 2788,4,unique
2789,Cluster 2789,63,accessory
2790,Cluster 2790,1,unique
2791,Cluster 2791,3,unique
2792,Cluster 2792,2,unique
2793,Cluster 2793,1,unique
2794,Cluster 2794,1,unique
2795,Cluster 2795,1,unique
2796,Cluster 2796,1,unique
2797,Cluster 2797,1,unique
2798,Cluster 2798,63,accessory
2799,Cluster 2799,63,accessory
2800,Cluster 2800,63,accessory
2801,Cluster 2801,63,accessory
2802,Cluster 2802,62,accessory
2803,Cluster 2803,61,accessory
2804,Cluster 2804,63,accessory
2805,Cluster 2805,63,accessory
2806,Cluster 2806,63,accessory
2807,Cluster 2807,47,accessory
2808,Cluster 2808,63,accessory
2809,Cluster 2809,10,unique
2810,Cluster 2810,48,accessory
2811,Cluster 2811,21,accessory
2812,Cluster 2812,3,unique
2813,Cluster 2813,1,unique
2814,Cluster 2814,7,unique
2815,Cluster 2815,1,unique
2816,Cluster 2816,4,unique
2817,Cluster 2817,3,unique
2818,Cluster 2818,1,unique
2819,Cluster 2819,63,accessory
2820,Cluster 2820,63,accessory
2821,Cluster 2821,6,unique
2822,Cluster 2822,48,accessory
2823,Cluster 2823,21,accessory
2824,Cluster 2824,12,unique
2825,Cluster 2825,3,unique
2826,Cluster 2826,1,unique
2827,Cluster 2827,15,accessory
2828,Cluster 2828,23,accessory
2829,Cluster 2829,2,unique
2830,Cluster 2830,6,unique
2831,Cluster 2831,1,unique
2832,Cluster 2832,63,accessory
2833,Cluster 2833,60,accessory
2834,Cluster 2834,75,accessory
2835,Cluster 2835,63,accessory
2836,Cluster 2836,7,unique
2837,Cluster 2837,1,unique
2838,Cluster 2838,5,unique
2839,Cluster 2839,26,accessory
2840,Cluster 2840,24,accessory
2841,Cluster 2841,2,unique
2842,Cluster 2842,1,unique
2843,Cluster 2843,2,unique
2844,Cluster 2844,2,unique
2845,Cluster 2845,2,unique
2846,Cluster 2846,4,unique
2847,Cluster 2847,2,unique
2848,Cluster 2848,1,unique
2849,Cluster 2849,1,unique
2850,Cluster 2850,2,unique
2851,Cluster 2851,1,unique
2852,Cluster 2852,61,accessory
2853,Cluster 2853,63,accessory
2854,Cluster 2854,51,accessory
2855,Cluster 2855,62,accessory
2856,Cluster 2856,63,accessory
2857,Cluster 2857,56,accessory
2858,Cluster 2858,5,unique
2859,Cluster 2859,3,unique
2860,Cluster 2860,21,accessory
2861,Cluster 2861,3,unique
2862,Cluster 2862,8,unique
2863,Cluster 2863,1,unique
2864,Cluster 2864,62,accessory
2865,Cluster 2865,63,accessory
2866,Cluster 2866,63,accessory
2867,Cluster 2867,62,accessory
2868,Cluster 2868,63,accessory
2869,Cluster 2869,63,accessory
2870,Cluster 2870,7,unique
2871,Cluster 2871,7,unique
2872,Cluster 2872,18,accessory
2873,Cluster 2873,6,unique
2874,Cluster 2874,5,unique
2875,Cluster 2875,2,unique
2876,Cluster 2876,1,unique
2877,Cluster 2877,4,unique
2878,Cluster 2878,3,unique
2879,Cluster 2879,3,unique
2880,Cluster 2880,1,unique
2881,Cluster 2881,5,unique
2882,Cluster 2882,1,unique
2883,Cluster 2883,53,accessory
2884,Cluster 2884,63,accessory
2885,Cluster 2885,63,accessory
2886,Cluster 2886,63,accessory
2887,Cluster 2887,12,unique
2888,Cluster 2888,20,accessory
2889,Cluster 2889,20,accessory
2890,Cluster 2890,2,unique
2891,Cluster 2891,13,unique
2892,Cluster 2892,6,unique
2893,Cluster 2893,1,unique
2894,Cluster 2894,1,unique
2895,Cluster 2895,2,unique
2896,Cluster 2896,1,unique
2897,Cluster 2897,4,unique
2898,Cluster 2898,1,unique
2899,Cluster 2899,1,unique
2900,Cluster 2900,1,unique
2901,Cluster 2901,3,unique
2902,Cluster 2902,1,unique
2903,Cluster 2903,1,unique
2904,Cluster 2904,63,accessory
2905,Cluster 2905,63,accessory
2906,Cluster 2906,37,accessory
2907,Cluster 2907,63,accessory
2908,Cluster 2908,63,accessory
2909,Cluster 2909,63,accessory
2910,Cluster 2910,63,accessory
2911,Cluster 2911,63,accessory
2912,Cluster 2912,63,accessory
2913,Cluster 2913,63,accessory
2914,Cluster 2914,13,unique
2915,Cluster 2915,2,unique
2916,Cluster 2916,28,accessory
2917,Cluster 2917,22,accessory
2918,Cluster 2918,15,accessory
2919,Cluster 2919,1,unique
2920,Cluster 2920,4,unique
2921,Cluster 2921,8,unique
2922,Cluster 2922,14,accessory
2923,Cluster 2923,1,unique
2924,Cluster 2924,1,unique
2925,Cluster 2925,63,accessory
2926,Cluster 2926,25,accessory
2927,Cluster 2927,1,unique
2928,Cluster 2928,1,unique
2929,Cluster 2929,6,unique
2930,Cluster 2930,4,unique
2931,Cluster 2931,1,unique
2932,Cluster 2932,1,unique
2933,Cluster 2933,36,accessory
2934,Cluster 2934,67,accessory
2935,Cluster 2935,63,accessory
2936,Cluster 2936,17,accessory
2937,Cluster 2937,52,accessory
2938,Cluster 2938,7,unique
2939,Cluster 2939,63,accessory
2940,Cluster 2940,63,accessory
2941,Cluster 2941,46,accessory
2942,Cluster 2942,56,accessory
2943,Cluster 2943,47,accessory
2944,Cluster 2944,1,unique
2945,Cluster 2945,2,unique
2946,Cluster 2946,1,unique
2947,Cluster 2947,21,accessory
2948,Cluster 2948,16,accessory
2949,Cluster 2949,1,unique
2950,Cluster 2950,2,unique
2951,Cluster 2951,18,accessory
2952,Cluster 2952,4,unique
2953,Cluster 2953,2,unique
2954,Cluster 2954,1,unique
2955,Cluster 2955,1,unique
2956,Cluster 2956,2,unique
2957,Cluster 2957,1,unique
2958,Cluster 2958,5,unique
2959,Cluster 2959,63,accessory
2960,Cluster 2960,63,accessory
2961,Cluster 2961,63,accessory
