, ,Number of genomes
290,Cluster 290,1
291,Cluster 291,63
292,Cluster 292,5
293,Cluster 293,29
294,Cluster 294,1
295,Cluster 295,3
296,Cluster 296,3
297,Cluster 297,1
298,Cluster 298,1
299,Cluster 299,63
300,Cluster 300,1
301,Cluster 301,1
302,Cluster 302,1
303,Cluster 303,57
304,Cluster 304,63
305,Cluster 305,19
306,Cluster 306,7
307,Cluster 307,2
308,Cluster 308,63
309,Cluster 309,1
310,Cluster 310,1
311,Cluster 311,1
312,Cluster 312,63
313,Cluster 313,3
314,Cluster 314,63
315,Cluster 315,37
316,Cluster 316,21
317,Cluster 317,1
318,Cluster 318,2
319,Cluster 319,1
320,Cluster 320,1
321,Cluster 321,7
322,Cluster 322,61
323,Cluster 323,4
324,Cluster 324,4
325,Cluster 325,1
326,Cluster 326,2
327,Cluster 327,2
328,Cluster 328,2
329,Cluster 329,1
330,Cluster 330,2
331,Cluster 331,62
332,Cluster 332,25
333,Cluster 333,2
334,Cluster 334,2
335,Cluster 335,2
336,Cluster 336,6
337,Cluster 337,63
338,Cluster 338,5
339,Cluster 339,1
340,Cluster 340,63
341,Cluster 341,1
342,Cluster 342,1
343,Cluster 343,12
344,Cluster 344,2
345,Cluster 345,1
346,Cluster 346,5
347,Cluster 347,63
348,Cluster 348,62
349,Cluster 349,1
350,Cluster 350,46
351,Cluster 351,20
352,Cluster 352,18
353,Cluster 353,63
354,Cluster 354,1
355,Cluster 355,6
356,Cluster 356,1
357,Cluster 357,10
358,Cluster 358,1
359,Cluster 359,63
360,Cluster 360,13
361,Cluster 361,2
362,Cluster 362,1
363,Cluster 363,7
364,Cluster 364,63
365,Cluster 365,63
366,Cluster 366,63
367,Cluster 367,63
368,Cluster 368,63
369,Cluster 369,63
370,Cluster 370,8
371,Cluster 371,5
372,Cluster 372,12
373,Cluster 373,63
374,Cluster 374,8
375,Cluster 375,63
376,Cluster 376,1
377,Cluster 377,16
378,Cluster 378,44
379,Cluster 379,26
380,Cluster 380,1
381,Cluster 381,10
382,Cluster 382,18
383,Cluster 383,26
384,Cluster 384,17
385,Cluster 385,63
386,Cluster 386,1
387,Cluster 387,52
388,Cluster 388,45
389,Cluster 389,63
390,Cluster 390,1
391,Cluster 391,63
392,Cluster 392,50
393,Cluster 393,2
394,Cluster 394,1
395,Cluster 395,63
396,Cluster 396,13
397,Cluster 397,3
398,Cluster 398,1
399,Cluster 399,54
400,Cluster 400,63
401,Cluster 401,36
402,Cluster 402,3
403,Cluster 403,2
404,Cluster 404,33
405,Cluster 405,3
406,Cluster 406,5
407,Cluster 407,37
408,Cluster 408,3
409,Cluster 409,1
410,Cluster 410,63
411,Cluster 411,63
412,Cluster 412,5
413,Cluster 413,7
414,Cluster 414,35
415,Cluster 415,2
416,Cluster 416,1
417,Cluster 417,10
418,Cluster 418,63
419,Cluster 419,10
420,Cluster 420,68
421,Cluster 421,5
422,Cluster 422,63
423,Cluster 423,1
424,Cluster 424,4
425,Cluster 425,63
426,Cluster 426,1
427,Cluster 427,4
428,Cluster 428,19
429,Cluster 429,17
430,Cluster 430,63
431,Cluster 431,2
432,Cluster 432,1
433,Cluster 433,63
434,Cluster 434,63
435,Cluster 435,8
436,Cluster 436,1
437,Cluster 437,63
438,Cluster 438,1
439,Cluster 439,18
440,Cluster 440,63
441,Cluster 441,15
442,Cluster 442,1
443,Cluster 443,5
444,Cluster 444,1
445,Cluster 445,61
446,Cluster 446,6
447,Cluster 447,12
448,Cluster 448,21
449,Cluster 449,1
450,Cluster 450,1
451,Cluster 451,18
452,Cluster 452,31
453,Cluster 453,54
454,Cluster 454,63
455,Cluster 455,29
456,Cluster 456,2
457,Cluster 457,3
458,Cluster 458,11
459,Cluster 459,4
460,Cluster 460,2
461,Cluster 461,1
462,Cluster 462,63
463,Cluster 463,2
464,Cluster 464,63
465,Cluster 465,15
466,Cluster 466,1
467,Cluster 467,63
468,Cluster 468,3
469,Cluster 469,1
470,Cluster 470,12
471,Cluster 471,5
472,Cluster 472,1
473,Cluster 473,63
474,Cluster 474,1
475,Cluster 475,2
476,Cluster 476,57
477,Cluster 477,2
478,Cluster 478,2
479,Cluster 479,18
480,Cluster 480,3
481,Cluster 481,51
482,Cluster 482,5
483,Cluster 483,22
484,Cluster 484,2
485,Cluster 485,63
486,Cluster 486,5
487,Cluster 487,1
488,Cluster 488,25
489,Cluster 489,16
490,Cluster 490,1
491,Cluster 491,32
492,Cluster 492,63
493,Cluster 493,6
494,Cluster 494,19
495,Cluster 495,63
496,Cluster 496,63
497,Cluster 497,3
498,Cluster 498,63
499,Cluster 499,10
500,Cluster 500,8
501,Cluster 501,3
502,Cluster 502,1
503,Cluster 503,1
504,Cluster 504,63
505,Cluster 505,63
506,Cluster 506,63
507,Cluster 507,7
508,Cluster 508,52
509,Cluster 509,63
510,Cluster 510,4
511,Cluster 511,3
512,Cluster 512,1
513,Cluster 513,62
514,Cluster 514,63
515,Cluster 515,52
516,Cluster 516,1
517,Cluster 517,44
518,Cluster 518,1
519,Cluster 519,61
520,Cluster 520,63
521,Cluster 521,63
522,Cluster 522,63
523,Cluster 523,63
524,Cluster 524,1
525,Cluster 525,14
526,Cluster 526,1
527,Cluster 527,30
528,Cluster 528,59
529,Cluster 529,10
530,Cluster 530,1
531,Cluster 531,34
532,Cluster 532,63
533,Cluster 533,5
534,Cluster 534,63
535,Cluster 535,63
536,Cluster 536,1
537,Cluster 537,11
538,Cluster 538,9
539,Cluster 539,63
540,Cluster 540,6
541,Cluster 541,2
542,Cluster 542,3
543,Cluster 543,38
544,Cluster 544,6
545,Cluster 545,2
546,Cluster 546,10
547,Cluster 547,63
548,Cluster 548,11
549,Cluster 549,15
550,Cluster 550,12
551,Cluster 551,2
552,Cluster 552,4
553,Cluster 553,63
554,Cluster 554,63
555,Cluster 555,63
556,Cluster 556,1
557,Cluster 557,57
558,Cluster 558,2
559,Cluster 559,1
560,Cluster 560,63
561,Cluster 561,1
562,Cluster 562,60
563,Cluster 563,9
564,Cluster 564,8
565,Cluster 565,1
566,Cluster 566,54
567,Cluster 567,1
568,Cluster 568,63
569,Cluster 569,63
570,Cluster 570,62
571,Cluster 571,8
572,Cluster 572,1
573,Cluster 573,63
574,Cluster 574,3
575,Cluster 575,1
576,Cluster 576,63
577,Cluster 577,7
578,Cluster 578,34
579,Cluster 579,4
580,Cluster 580,12
581,Cluster 581,1
582,Cluster 582,59
583,Cluster 583,61
584,Cluster 584,25
585,Cluster 585,63
586,Cluster 586,1
587,Cluster 587,63
588,Cluster 588,19
589,Cluster 589,27
590,Cluster 590,63
591,Cluster 591,51
592,Cluster 592,63
593,Cluster 593,63
594,Cluster 594,63
595,Cluster 595,63
596,Cluster 596,62
597,Cluster 597,47
598,Cluster 598,20
599,Cluster 599,63
600,Cluster 600,55
601,Cluster 601,63
602,Cluster 602,55
603,Cluster 603,2
604,Cluster 604,63
605,Cluster 605,2
606,Cluster 606,2
607,Cluster 607,13
608,Cluster 608,1
609,Cluster 609,63
610,Cluster 610,63
611,Cluster 611,63
612,Cluster 612,26
613,Cluster 613,4
614,Cluster 614,63
615,Cluster 615,56
616,Cluster 616,22
617,Cluster 617,63
618,Cluster 618,19
619,Cluster 619,62
620,Cluster 620,4
621,Cluster 621,63
622,Cluster 622,63
623,Cluster 623,6
624,Cluster 624,44
625,Cluster 625,3
626,Cluster 626,2
627,Cluster 627,2
628,Cluster 628,63
629,Cluster 629,4
630,Cluster 630,6
631,Cluster 631,2
632,Cluster 632,1
633,Cluster 633,55
634,Cluster 634,1
635,Cluster 635,1
636,Cluster 636,61
637,Cluster 637,6
638,Cluster 638,2
639,Cluster 639,2
640,Cluster 640,9
641,Cluster 641,63
642,Cluster 642,7
643,Cluster 643,6
644,Cluster 644,15
645,Cluster 645,1
646,Cluster 646,2
647,Cluster 647,1
648,Cluster 648,1
649,Cluster 649,40
650,Cluster 650,1
651,Cluster 651,2
652,Cluster 652,7
653,Cluster 653,33
654,Cluster 654,63
655,Cluster 655,63
656,Cluster 656,48
657,Cluster 657,11
658,Cluster 658,12
659,Cluster 659,1
660,Cluster 660,1
661,Cluster 661,1
662,Cluster 662,45
663,Cluster 663,63
664,Cluster 664,63
665,Cluster 665,7
666,Cluster 666,1
