, ,Number of genomes
2781,Cluster 2781,63
2782,Cluster 2782,63
2783,Cluster 2783,33
2784,Cluster 2784,47
2785,Cluster 2785,6
2786,Cluster 2786,41
2787,Cluster 2787,28
2788,Cluster 2788,4
2789,Cluster 2789,63
2790,Cluster 2790,1
2791,Cluster 2791,3
2792,Cluster 2792,2
2793,Cluster 2793,1
2794,Cluster 2794,1
2795,Cluster 2795,1
2796,Cluster 2796,1
2797,Cluster 2797,1
2798,Cluster 2798,63
2799,Cluster 2799,63
2800,Cluster 2800,63
2801,Cluster 2801,63
2802,Cluster 2802,62
2803,Cluster 2803,61
2804,Cluster 2804,63
2805,Cluster 2805,63
2806,Cluster 2806,63
2807,Cluster 2807,47
2808,Cluster 2808,63
2809,Cluster 2809,10
2810,Cluster 2810,48
2811,Cluster 2811,21
2812,Cluster 2812,3
2813,Cluster 2813,1
2814,Cluster 2814,7
2815,Cluster 2815,1
2816,Cluster 2816,4
2817,Cluster 2817,3
2818,Cluster 2818,1
2819,Cluster 2819,63
2820,Cluster 2820,63
2821,Cluster 2821,6
2822,Cluster 2822,48
2823,Cluster 2823,21
2824,Cluster 2824,12
2825,Cluster 2825,3
2826,Cluster 2826,1
2827,Cluster 2827,15
2828,Cluster 2828,23
2829,Cluster 2829,2
2830,Cluster 2830,6
2831,Cluster 2831,1
2832,Cluster 2832,63
2833,Cluster 2833,60
2834,Cluster 2834,75
2835,Cluster 2835,63
2836,Cluster 2836,7
2837,Cluster 2837,1
2838,Cluster 2838,5
2839,Cluster 2839,26
2840,Cluster 2840,24
2841,Cluster 2841,2
2842,Cluster 2842,1
2843,Cluster 2843,2
2844,Cluster 2844,2
2845,Cluster 2845,2
2846,Cluster 2846,4
2847,Cluster 2847,2
2848,Cluster 2848,1
2849,Cluster 2849,1
2850,Cluster 2850,2
2851,Cluster 2851,1
2852,Cluster 2852,61
2853,Cluster 2853,63
2854,Cluster 2854,51
2855,Cluster 2855,62
2856,Cluster 2856,63
2857,Cluster 2857,56
2858,Cluster 2858,5
2859,Cluster 2859,3
2860,Cluster 2860,21
2861,Cluster 2861,3
2862,Cluster 2862,8
2863,Cluster 2863,1
2864,Cluster 2864,62
2865,Cluster 2865,63
2866,Cluster 2866,63
2867,Cluster 2867,62
2868,Cluster 2868,63
2869,Cluster 2869,63
2870,Cluster 2870,7
2871,Cluster 2871,7
2872,Cluster 2872,18
2873,Cluster 2873,6
2874,Cluster 2874,5
2875,Cluster 2875,2
2876,Cluster 2876,1
2877,Cluster 2877,4
2878,Cluster 2878,3
2879,Cluster 2879,3
2880,Cluster 2880,1
2881,Cluster 2881,5
2882,Cluster 2882,1
2883,Cluster 2883,53
2884,Cluster 2884,63
2885,Cluster 2885,63
2886,Cluster 2886,63
2887,Cluster 2887,12
2888,Cluster 2888,20
2889,Cluster 2889,20
2890,Cluster 2890,2
2891,Cluster 2891,13
2892,Cluster 2892,6
2893,Cluster 2893,1
2894,Cluster 2894,1
2895,Cluster 2895,2
2896,Cluster 2896,1
2897,Cluster 2897,4
2898,Cluster 2898,1
2899,Cluster 2899,1
2900,Cluster 2900,1
2901,Cluster 2901,3
2902,Cluster 2902,1
2903,Cluster 2903,1
2904,Cluster 2904,63
2905,Cluster 2905,63
2906,Cluster 2906,37
2907,Cluster 2907,63
2908,Cluster 2908,63
2909,Cluster 2909,63
2910,Cluster 2910,63
2911,Cluster 2911,63
2912,Cluster 2912,63
2913,Cluster 2913,63
2914,Cluster 2914,13
2915,Cluster 2915,2
2916,Cluster 2916,28
2917,Cluster 2917,22
2918,Cluster 2918,15
2919,Cluster 2919,1
2920,Cluster 2920,4
2921,Cluster 2921,8
2922,Cluster 2922,14
2923,Cluster 2923,1
2924,Cluster 2924,1
2925,Cluster 2925,63
2926,Cluster 2926,25
2927,Cluster 2927,1
2928,Cluster 2928,1
2929,Cluster 2929,6
2930,Cluster 2930,4
2931,Cluster 2931,1
2932,Cluster 2932,1
2933,Cluster 2933,36
2934,Cluster 2934,67
2935,Cluster 2935,63
2936,Cluster 2936,17
2937,Cluster 2937,52
2938,Cluster 2938,7
2939,Cluster 2939,63
2940,Cluster 2940,63
2941,Cluster 2941,46
2942,Cluster 2942,56
2943,Cluster 2943,47
2944,Cluster 2944,1
2945,Cluster 2945,2
2946,Cluster 2946,1
2947,Cluster 2947,21
2948,Cluster 2948,16
2949,Cluster 2949,1
2950,Cluster 2950,2
2951,Cluster 2951,18
2952,Cluster 2952,4
2953,Cluster 2953,2
2954,Cluster 2954,1
2955,Cluster 2955,1
2956,Cluster 2956,2
2957,Cluster 2957,1
2958,Cluster 2958,5
2959,Cluster 2959,63
2960,Cluster 2960,63
2961,Cluster 2961,63
2962,Cluster 2962,63
2963,Cluster 2963,63
2964,Cluster 2964,7
2965,Cluster 2965,39
2966,Cluster 2966,9
2967,Cluster 2967,20
2968,Cluster 2968,1
2969,Cluster 2969,40
2970,Cluster 2970,1
2971,Cluster 2971,4
2972,Cluster 2972,3
2973,Cluster 2973,2
2974,Cluster 2974,1
2975,Cluster 2975,1
2976,Cluster 2976,63
2977,Cluster 2977,22
2978,Cluster 2978,63
2979,Cluster 2979,63
2980,Cluster 2980,63
2981,Cluster 2981,63
2982,Cluster 2982,63
2983,Cluster 2983,63
2984,Cluster 2984,63
2985,Cluster 2985,27
2986,Cluster 2986,63
2987,Cluster 2987,18
2988,Cluster 2988,7
2989,Cluster 2989,22
2990,Cluster 2990,1
2991,Cluster 2991,3
2992,Cluster 2992,5
2993,Cluster 2993,2
2994,Cluster 2994,1
2995,Cluster 2995,1
2996,Cluster 2996,2
2997,Cluster 2997,1
2998,Cluster 2998,3
2999,Cluster 2999,1
3000,Cluster 3000,63
3001,Cluster 3001,63
3002,Cluster 3002,63
3003,Cluster 3003,56
3004,Cluster 3004,9
3005,Cluster 3005,14
3006,Cluster 3006,1
3007,Cluster 3007,5
3008,Cluster 3008,4
3009,Cluster 3009,1
3010,Cluster 3010,3
3011,Cluster 3011,5
3012,Cluster 3012,3
3013,Cluster 3013,1
3014,Cluster 3014,1
3015,Cluster 3015,60
3016,Cluster 3016,36
3017,Cluster 3017,63
3018,Cluster 3018,63
3019,Cluster 3019,122
3020,Cluster 3020,63
3021,Cluster 3021,29
3022,Cluster 3022,21
3023,Cluster 3023,14
3024,Cluster 3024,1
3025,Cluster 3025,1
3026,Cluster 3026,1
3027,Cluster 3027,63
3028,Cluster 3028,61
3029,Cluster 3029,63
3030,Cluster 3030,36
3031,Cluster 3031,63
3032,Cluster 3032,63
3033,Cluster 3033,63
3034,Cluster 3034,2
3035,Cluster 3035,5
3036,Cluster 3036,3
3037,Cluster 3037,4
3038,Cluster 3038,1
3039,Cluster 3039,3
3040,Cluster 3040,2
3041,Cluster 3041,1
3042,Cluster 3042,63
3043,Cluster 3043,63
3044,Cluster 3044,63
3045,Cluster 3045,63
3046,Cluster 3046,63
3047,Cluster 3047,61
3048,Cluster 3048,39
3049,Cluster 3049,63
3050,Cluster 3050,26
3051,Cluster 3051,47
3052,Cluster 3052,2
3053,Cluster 3053,15
3054,Cluster 3054,21
3055,Cluster 3055,2
3056,Cluster 3056,5
3057,Cluster 3057,1
3058,Cluster 3058,2
3059,Cluster 3059,3
3060,Cluster 3060,2
3061,Cluster 3061,1
3062,Cluster 3062,1
3063,Cluster 3063,63
3064,Cluster 3064,63
3065,Cluster 3065,13
3066,Cluster 3066,63
3067,Cluster 3067,63
3068,Cluster 3068,63
3069,Cluster 3069,63
3070,Cluster 3070,4
3071,Cluster 3071,26
3072,Cluster 3072,18
3073,Cluster 3073,15
3074,Cluster 3074,5
3075,Cluster 3075,1
3076,Cluster 3076,1
3077,Cluster 3077,9
3078,Cluster 3078,3
3079,Cluster 3079,1
3080,Cluster 3080,1
3081,Cluster 3081,63
3082,Cluster 3082,63
3083,Cluster 3083,63
3084,Cluster 3084,55
3085,Cluster 3085,63
3086,Cluster 3086,63
3087,Cluster 3087,25
3088,Cluster 3088,6
3089,Cluster 3089,15
3090,Cluster 3090,5
3091,Cluster 3091,4
3092,Cluster 3092,6
3093,Cluster 3093,2
3094,Cluster 3094,1
3095,Cluster 3095,6
3096,Cluster 3096,3
3097,Cluster 3097,1
3098,Cluster 3098,4
3099,Cluster 3099,63
3100,Cluster 3100,56
3101,Cluster 3101,63
3102,Cluster 3102,48
3103,Cluster 3103,25
3104,Cluster 3104,25
3105,Cluster 3105,1
3106,Cluster 3106,6
3107,Cluster 3107,8
3108,Cluster 3108,1
3109,Cluster 3109,1
3110,Cluster 3110,10
3111,Cluster 3111,1
3112,Cluster 3112,1
3113,Cluster 3113,3
3114,Cluster 3114,1
3115,Cluster 3115,1
3116,Cluster 3116,63
3117,Cluster 3117,63
3118,Cluster 3118,63
3119,Cluster 3119,46
3120,Cluster 3120,63
3121,Cluster 3121,43
3122,Cluster 3122,15
3123,Cluster 3123,1
3124,Cluster 3124,4
3125,Cluster 3125,18
3126,Cluster 3126,23
3127,Cluster 3127,23
3128,Cluster 3128,63
3129,Cluster 3129,2
3130,Cluster 3130,1
3131,Cluster 3131,2
3132,Cluster 3132,1
3133,Cluster 3133,1
3134,Cluster 3134,3
3135,Cluster 3135,2
3136,Cluster 3136,1
3137,Cluster 3137,57
3138,Cluster 3138,1
3139,Cluster 3139,63
3140,Cluster 3140,62
3141,Cluster 3141,63
3142,Cluster 3142,63
3143,Cluster 3143,36
3144,Cluster 3144,63
3145,Cluster 3145,63
3146,Cluster 3146,1
3147,Cluster 3147,46
3148,Cluster 3148,1
3149,Cluster 3149,6
3150,Cluster 3150,9
3151,Cluster 3151,22
3152,Cluster 3152,5
3153,Cluster 3153,1
3154,Cluster 3154,1
3155,Cluster 3155,3
3156,Cluster 3156,4
3157,Cluster 3157,1
3158,Cluster 3158,1
3159,Cluster 3159,63
3160,Cluster 3160,63
3161,Cluster 3161,63
3162,Cluster 3162,63
3163,Cluster 3163,6
3164,Cluster 3164,22
3165,Cluster 3165,2
3166,Cluster 3166,1
3167,Cluster 3167,1
3168,Cluster 3168,1
3169,Cluster 3169,3
3170,Cluster 3170,6
3171,Cluster 3171,1
3172,Cluster 3172,62
3173,Cluster 3173,63
3174,Cluster 3174,63
3175,Cluster 3175,57
3176,Cluster 3176,62
3177,Cluster 3177,63
3178,Cluster 3178,62
3179,Cluster 3179,63
3180,Cluster 3180,63
3181,Cluster 3181,25
3182,Cluster 3182,1
3183,Cluster 3183,12
3184,Cluster 3184,4
3185,Cluster 3185,1
3186,Cluster 3186,4
3187,Cluster 3187,1
3188,Cluster 3188,3
3189,Cluster 3189,63
3190,Cluster 3190,1
3191,Cluster 3191,1
3192,Cluster 3192,63
3193,Cluster 3193,63
3194,Cluster 3194,62
3195,Cluster 3195,63
3196,Cluster 3196,7
3197,Cluster 3197,23
3198,Cluster 3198,25
3199,Cluster 3199,13
3200,Cluster 3200,15
3201,Cluster 3201,1
3202,Cluster 3202,2
3203,Cluster 3203,13
3204,Cluster 3204,1
3205,Cluster 3205,1
3206,Cluster 3206,1
3207,Cluster 3207,63
3208,Cluster 3208,63
3209,Cluster 3209,17
3210,Cluster 3210,63
3211,Cluster 3211,62
3212,Cluster 3212,3
3213,Cluster 3213,63
3214,Cluster 3214,40
3215,Cluster 3215,33
3216,Cluster 3216,4
3217,Cluster 3217,8
3218,Cluster 3218,6
3219,Cluster 3219,1
3220,Cluster 3220,63
3221,Cluster 3221,63
3222,Cluster 3222,63
3223,Cluster 3223,63
3224,Cluster 3224,63
3225,Cluster 3225,63
3226,Cluster 3226,63
3227,Cluster 3227,40
3228,Cluster 3228,63
3229,Cluster 3229,63
3230,Cluster 3230,64
3231,Cluster 3231,12
3232,Cluster 3232,14
3233,Cluster 3233,15
3234,Cluster 3234,2
3235,Cluster 3235,15
3236,Cluster 3236,1
3237,Cluster 3237,1
3238,Cluster 3238,1
3239,Cluster 3239,63
3240,Cluster 3240,63
3241,Cluster 3241,63
3242,Cluster 3242,63
3243,Cluster 3243,13
3244,Cluster 3244,13
3245,Cluster 3245,1
3246,Cluster 3246,15
3247,Cluster 3247,1
3248,Cluster 3248,1
3249,Cluster 3249,1
3250,Cluster 3250,2
3251,Cluster 3251,54
3252,Cluster 3252,40
3253,Cluster 3253,63
3254,Cluster 3254,12
3255,Cluster 3255,29
3256,Cluster 3256,1
3257,Cluster 3257,5
3258,Cluster 3258,5
3259,Cluster 3259,1
3260,Cluster 3260,2
3261,Cluster 3261,2
3262,Cluster 3262,1
3263,Cluster 3263,1
3264,Cluster 3264,1
3265,Cluster 3265,63
3266,Cluster 3266,63
3267,Cluster 3267,63
3268,Cluster 3268,63
3269,Cluster 3269,48
3270,Cluster 3270,34
3271,Cluster 3271,22
3272,Cluster 3272,9
3273,Cluster 3273,4
3274,Cluster 3274,9
3275,Cluster 3275,63
3276,Cluster 3276,5
3277,Cluster 3277,2
3278,Cluster 3278,2
3279,Cluster 3279,3
3280,Cluster 3280,2
3281,Cluster 3281,2
3282,Cluster 3282,58
3283,Cluster 3283,63
3284,Cluster 3284,63
3285,Cluster 3285,14
3286,Cluster 3286,61
3287,Cluster 3287,63
3288,Cluster 3288,63
3289,Cluster 3289,117
3290,Cluster 3290,63
3291,Cluster 3291,26
3292,Cluster 3292,12
3293,Cluster 3293,2
3294,Cluster 3294,3
3295,Cluster 3295,9
3296,Cluster 3296,4
3297,Cluster 3297,3
3298,Cluster 3298,1
3299,Cluster 3299,35
3300,Cluster 3300,61
3301,Cluster 3301,63
3302,Cluster 3302,62
3303,Cluster 3303,63
3304,Cluster 3304,61
3305,Cluster 3305,13
3306,Cluster 3306,59
3307,Cluster 3307,63
3308,Cluster 3308,5
3309,Cluster 3309,5
3310,Cluster 3310,4
3311,Cluster 3311,7
3312,Cluster 3312,1
3313,Cluster 3313,1
3314,Cluster 3314,1
3315,Cluster 3315,1
3316,Cluster 3316,1
3317,Cluster 3317,1
3318,Cluster 3318,1
3319,Cluster 3319,63
3320,Cluster 3320,63
3321,Cluster 3321,63
3322,Cluster 3322,63
3323,Cluster 3323,63
3324,Cluster 3324,7
3325,Cluster 3325,33
3326,Cluster 3326,41
3327,Cluster 3327,5
3328,Cluster 3328,24
3329,Cluster 3329,1
3330,Cluster 3330,5
3331,Cluster 3331,5
3332,Cluster 3332,5
3333,Cluster 3333,7
3334,Cluster 3334,1
3335,Cluster 3335,9
3336,Cluster 3336,5
3337,Cluster 3337,7
3338,Cluster 3338,1
3339,Cluster 3339,3
3340,Cluster 3340,1
3341,Cluster 3341,1
3342,Cluster 3342,1
3343,Cluster 3343,1
3344,Cluster 3344,63
3345,Cluster 3345,63
3346,Cluster 3346,63
3347,Cluster 3347,13
3348,Cluster 3348,63
3349,Cluster 3349,57
3350,Cluster 3350,8
3351,Cluster 3351,63
3352,Cluster 3352,63
3353,Cluster 3353,2
3354,Cluster 3354,26
3355,Cluster 3355,1
3356,Cluster 3356,16
3357,Cluster 3357,1
3358,Cluster 3358,76
3359,Cluster 3359,36
3360,Cluster 3360,35
3361,Cluster 3361,1
3362,Cluster 3362,8
3363,Cluster 3363,1
3364,Cluster 3364,8
3365,Cluster 3365,1
3366,Cluster 3366,1
3367,Cluster 3367,2
3368,Cluster 3368,4
3369,Cluster 3369,2
3370,Cluster 3370,1
3371,Cluster 3371,1
3372,Cluster 3372,8
3373,Cluster 3373,1
3374,Cluster 3374,1
3375,Cluster 3375,56
3376,Cluster 3376,15
3377,Cluster 3377,38
3378,Cluster 3378,61
3379,Cluster 3379,51
3380,Cluster 3380,63
3381,Cluster 3381,3
3382,Cluster 3382,12
3383,Cluster 3383,12
3384,Cluster 3384,19
3385,Cluster 3385,2
3386,Cluster 3386,2
3387,Cluster 3387,1
3388,Cluster 3388,2
3389,Cluster 3389,7
3390,Cluster 3390,1
3391,Cluster 3391,63
3392,Cluster 3392,63
3393,Cluster 3393,63
3394,Cluster 3394,35
3395,Cluster 3395,48
3396,Cluster 3396,6
3397,Cluster 3397,12
3398,Cluster 3398,2
3399,Cluster 3399,4
3400,Cluster 3400,1
3401,Cluster 3401,2
3402,Cluster 3402,3
3403,Cluster 3403,1
3404,Cluster 3404,63
3405,Cluster 3405,63
3406,Cluster 3406,63
3407,Cluster 3407,63
3408,Cluster 3408,17
3409,Cluster 3409,2
3410,Cluster 3410,29
3411,Cluster 3411,63
3412,Cluster 3412,63
3413,Cluster 3413,21
3414,Cluster 3414,1
3415,Cluster 3415,1
3416,Cluster 3416,30
3417,Cluster 3417,2
3418,Cluster 3418,2
3419,Cluster 3419,2
3420,Cluster 3420,1
3421,Cluster 3421,3
3422,Cluster 3422,1
3423,Cluster 3423,1
3424,Cluster 3424,3
3425,Cluster 3425,63
3426,Cluster 3426,63
3427,Cluster 3427,63
3428,Cluster 3428,61
3429,Cluster 3429,63
3430,Cluster 3430,31
3431,Cluster 3431,34
3432,Cluster 3432,20
3433,Cluster 3433,23
3434,Cluster 3434,15
3435,Cluster 3435,9
3436,Cluster 3436,3
3437,Cluster 3437,1
3438,Cluster 3438,10
3439,Cluster 3439,3
3440,Cluster 3440,1
3441,Cluster 3441,1
3442,Cluster 3442,1
3443,Cluster 3443,63
3444,Cluster 3444,63
3445,Cluster 3445,63
3446,Cluster 3446,25
3447,Cluster 3447,20
3448,Cluster 3448,5
3449,Cluster 3449,1
3450,Cluster 3450,12
3451,Cluster 3451,4
3452,Cluster 3452,5
3453,Cluster 3453,1
3454,Cluster 3454,2
3455,Cluster 3455,4
3456,Cluster 3456,1
3457,Cluster 3457,64
3458,Cluster 3458,63
3459,Cluster 3459,63
3460,Cluster 3460,63
3461,Cluster 3461,4
3462,Cluster 3462,1
3463,Cluster 3463,21
3464,Cluster 3464,22
3465,Cluster 3465,1
3466,Cluster 3466,4
3467,Cluster 3467,1
3468,Cluster 3468,1
3469,Cluster 3469,1
3470,Cluster 3470,4
3471,Cluster 3471,4
3472,Cluster 3472,6
3473,Cluster 3473,1
3474,Cluster 3474,62
3475,Cluster 3475,63
3476,Cluster 3476,62
3477,Cluster 3477,62
3478,Cluster 3478,6
3479,Cluster 3479,17
3480,Cluster 3480,63
3481,Cluster 3481,1
3482,Cluster 3482,27
3483,Cluster 3483,4
3484,Cluster 3484,2
3485,Cluster 3485,1
3486,Cluster 3486,1
3487,Cluster 3487,63
3488,Cluster 3488,63
3489,Cluster 3489,63
3490,Cluster 3490,63
3491,Cluster 3491,63
3492,Cluster 3492,63
3493,Cluster 3493,63
3494,Cluster 3494,63
3495,Cluster 3495,8
3496,Cluster 3496,23
3497,Cluster 3497,5
3498,Cluster 3498,1
3499,Cluster 3499,3
3500,Cluster 3500,74
3501,Cluster 3501,1
3502,Cluster 3502,1
3503,Cluster 3503,2
3504,Cluster 3504,2
3505,Cluster 3505,1
3506,Cluster 3506,2
3507,Cluster 3507,3
3508,Cluster 3508,63
3509,Cluster 3509,63
3510,Cluster 3510,63
3511,Cluster 3511,57
3512,Cluster 3512,63
3513,Cluster 3513,63
3514,Cluster 3514,63
3515,Cluster 3515,63
3516,Cluster 3516,4
3517,Cluster 3517,1
3518,Cluster 3518,4
3519,Cluster 3519,15
3520,Cluster 3520,22
3521,Cluster 3521,57
3522,Cluster 3522,23
3523,Cluster 3523,2
3524,Cluster 3524,6
3525,Cluster 3525,1
3526,Cluster 3526,9
3527,Cluster 3527,2
3528,Cluster 3528,3
3529,Cluster 3529,1
3530,Cluster 3530,5
3531,Cluster 3531,1
3532,Cluster 3532,63
3533,Cluster 3533,63
3534,Cluster 3534,63
3535,Cluster 3535,63
3536,Cluster 3536,1
3537,Cluster 3537,15
3538,Cluster 3538,4
3539,Cluster 3539,1
3540,Cluster 3540,4
3541,Cluster 3541,1
3542,Cluster 3542,1
3543,Cluster 3543,28
3544,Cluster 3544,1
3545,Cluster 3545,1
3546,Cluster 3546,1
3547,Cluster 3547,1
3548,Cluster 3548,1
3549,Cluster 3549,63
3550,Cluster 3550,62
3551,Cluster 3551,62
3552,Cluster 3552,11
3553,Cluster 3553,63
3554,Cluster 3554,8
3555,Cluster 3555,4
3556,Cluster 3556,9
3557,Cluster 3557,20
3558,Cluster 3558,1
3559,Cluster 3559,1
3560,Cluster 3560,1
3561,Cluster 3561,2
3562,Cluster 3562,2
3563,Cluster 3563,3
3564,Cluster 3564,1
3565,Cluster 3565,1
3566,Cluster 3566,1
3567,Cluster 3567,1
3568,Cluster 3568,1
3569,Cluster 3569,7
3570,Cluster 3570,58
3571,Cluster 3571,63
3572,Cluster 3572,63
3573,Cluster 3573,1
3574,Cluster 3574,63
3575,Cluster 3575,36
3576,Cluster 3576,2
3577,Cluster 3577,12
3578,Cluster 3578,19
3579,Cluster 3579,1
3580,Cluster 3580,1
3581,Cluster 3581,1
3582,Cluster 3582,1
3583,Cluster 3583,1
3584,Cluster 3584,2
3585,Cluster 3585,1
3586,Cluster 3586,63
3587,Cluster 3587,63
3588,Cluster 3588,58
3589,Cluster 3589,63
3590,Cluster 3590,63
3591,Cluster 3591,63
3592,Cluster 3592,50
3593,Cluster 3593,10
3594,Cluster 3594,4
3595,Cluster 3595,4
3596,Cluster 3596,5
3597,Cluster 3597,1
3598,Cluster 3598,1
3599,Cluster 3599,6
3600,Cluster 3600,2
3601,Cluster 3601,1
3602,Cluster 3602,1
3603,Cluster 3603,1
3604,Cluster 3604,1
3605,Cluster 3605,1
3606,Cluster 3606,63
3607,Cluster 3607,63
3608,Cluster 3608,63
3609,Cluster 3609,37
3610,Cluster 3610,2
3611,Cluster 3611,63
3612,Cluster 3612,36
3613,Cluster 3613,1
3614,Cluster 3614,2
3615,Cluster 3615,1
3616,Cluster 3616,1
3617,Cluster 3617,2
3618,Cluster 3618,3
3619,Cluster 3619,4
3620,Cluster 3620,63
3621,Cluster 3621,63
3622,Cluster 3622,63
3623,Cluster 3623,63
3624,Cluster 3624,57
3625,Cluster 3625,24
3626,Cluster 3626,2
3627,Cluster 3627,1
3628,Cluster 3628,2
3629,Cluster 3629,5
3630,Cluster 3630,1
3631,Cluster 3631,3
3632,Cluster 3632,1
3633,Cluster 3633,54
3634,Cluster 3634,63
3635,Cluster 3635,63
3636,Cluster 3636,63
3637,Cluster 3637,63
3638,Cluster 3638,63
3639,Cluster 3639,61
3640,Cluster 3640,30
3641,Cluster 3641,3
3642,Cluster 3642,26
3643,Cluster 3643,3
3644,Cluster 3644,1
3645,Cluster 3645,15
3646,Cluster 3646,6
3647,Cluster 3647,3
3648,Cluster 3648,1
3649,Cluster 3649,7
3650,Cluster 3650,63
3651,Cluster 3651,63
3652,Cluster 3652,57
3653,Cluster 3653,2
3654,Cluster 3654,2
3655,Cluster 3655,4
3656,Cluster 3656,7
3657,Cluster 3657,1
3658,Cluster 3658,4
3659,Cluster 3659,1
3660,Cluster 3660,3
3661,Cluster 3661,1
3662,Cluster 3662,24
3663,Cluster 3663,63
3664,Cluster 3664,7
3665,Cluster 3665,63
3666,Cluster 3666,63
3667,Cluster 3667,63
3668,Cluster 3668,7
3669,Cluster 3669,6
3670,Cluster 3670,15
3671,Cluster 3671,25
3672,Cluster 3672,18
3673,Cluster 3673,7
3674,Cluster 3674,1
3675,Cluster 3675,23
3676,Cluster 3676,3
3677,Cluster 3677,1
3678,Cluster 3678,5
3679,Cluster 3679,1
3680,Cluster 3680,1
3681,Cluster 3681,4
3682,Cluster 3682,1
3683,Cluster 3683,1
3684,Cluster 3684,33
3685,Cluster 3685,63
3686,Cluster 3686,57
3687,Cluster 3687,63
3688,Cluster 3688,63
3689,Cluster 3689,63
3690,Cluster 3690,63
3691,Cluster 3691,36
3692,Cluster 3692,62
3693,Cluster 3693,11
3694,Cluster 3694,12
3695,Cluster 3695,63
3696,Cluster 3696,35
3697,Cluster 3697,19
3698,Cluster 3698,12
3699,Cluster 3699,12
3700,Cluster 3700,63
3701,Cluster 3701,9
3702,Cluster 3702,19
3703,Cluster 3703,1
3704,Cluster 3704,7
3705,Cluster 3705,63
3706,Cluster 3706,1
3707,Cluster 3707,2
3708,Cluster 3708,2
3709,Cluster 3709,1
3710,Cluster 3710,1
3711,Cluster 3711,2
3712,Cluster 3712,3
3713,Cluster 3713,63
3714,Cluster 3714,63
3715,Cluster 3715,63
3716,Cluster 3716,63
3717,Cluster 3717,3
3718,Cluster 3718,63
3719,Cluster 3719,3
3720,Cluster 3720,56
3721,Cluster 3721,4
3722,Cluster 3722,1
3723,Cluster 3723,23
3724,Cluster 3724,6
3725,Cluster 3725,1
3726,Cluster 3726,2
3727,Cluster 3727,7
3728,Cluster 3728,3
3729,Cluster 3729,1
3730,Cluster 3730,1
3731,Cluster 3731,3
3732,Cluster 3732,63
3733,Cluster 3733,63
3734,Cluster 3734,56
3735,Cluster 3735,3
3736,Cluster 3736,63
3737,Cluster 3737,46
3738,Cluster 3738,42
3739,Cluster 3739,8
3740,Cluster 3740,1
3741,Cluster 3741,5
3742,Cluster 3742,2
3743,Cluster 3743,3
3744,Cluster 3744,1
3745,Cluster 3745,1
3746,Cluster 3746,3
3747,Cluster 3747,1
3748,Cluster 3748,63
3749,Cluster 3749,63
3750,Cluster 3750,35
3751,Cluster 3751,63
3752,Cluster 3752,63
3753,Cluster 3753,63
3754,Cluster 3754,2
3755,Cluster 3755,22
3756,Cluster 3756,1
3757,Cluster 3757,1
3758,Cluster 3758,1
3759,Cluster 3759,2
3760,Cluster 3760,3
3761,Cluster 3761,1
3762,Cluster 3762,4
3763,Cluster 3763,63
3764,Cluster 3764,63
3765,Cluster 3765,63
3766,Cluster 3766,63
3767,Cluster 3767,51
3768,Cluster 3768,61
3769,Cluster 3769,7
3770,Cluster 3770,6
3771,Cluster 3771,8
3772,Cluster 3772,19
3773,Cluster 3773,16
3774,Cluster 3774,27
3775,Cluster 3775,2
3776,Cluster 3776,39
3777,Cluster 3777,1
3778,Cluster 3778,1
3779,Cluster 3779,2
3780,Cluster 3780,1
3781,Cluster 3781,1
3782,Cluster 3782,1
3783,Cluster 3783,63
3784,Cluster 3784,63
3785,Cluster 3785,23
3786,Cluster 3786,17
3787,Cluster 3787,54
3788,Cluster 3788,25
3789,Cluster 3789,4
3790,Cluster 3790,1
3791,Cluster 3791,5
3792,Cluster 3792,2
3793,Cluster 3793,2
3794,Cluster 3794,1
3795,Cluster 3795,3
3796,Cluster 3796,1
3797,Cluster 3797,2
3798,Cluster 3798,1
3799,Cluster 3799,63
3800,Cluster 3800,63
3801,Cluster 3801,8
3802,Cluster 3802,63
3803,Cluster 3803,63
3804,Cluster 3804,63
3805,Cluster 3805,63
3806,Cluster 3806,54
3807,Cluster 3807,63
3808,Cluster 3808,55
3809,Cluster 3809,63
3810,Cluster 3810,57
3811,Cluster 3811,62
3812,Cluster 3812,20
3813,Cluster 3813,7
3814,Cluster 3814,11
3815,Cluster 3815,4
3816,Cluster 3816,21
3817,Cluster 3817,7
3818,Cluster 3818,63
3819,Cluster 3819,3
3820,Cluster 3820,1
3821,Cluster 3821,63
3822,Cluster 3822,54
3823,Cluster 3823,63
3824,Cluster 3824,14
3825,Cluster 3825,9
3826,Cluster 3826,63
3827,Cluster 3827,63
3828,Cluster 3828,63
3829,Cluster 3829,63
3830,Cluster 3830,20
3831,Cluster 3831,56
3832,Cluster 3832,18
3833,Cluster 3833,29
3834,Cluster 3834,25
3835,Cluster 3835,2
3836,Cluster 3836,1
3837,Cluster 3837,11
3838,Cluster 3838,63
3839,Cluster 3839,1
3840,Cluster 3840,1
3841,Cluster 3841,2
3842,Cluster 3842,1
3843,Cluster 3843,2
3844,Cluster 3844,2
3845,Cluster 3845,3
3846,Cluster 3846,1
3847,Cluster 3847,63
3848,Cluster 3848,63
3849,Cluster 3849,63
3850,Cluster 3850,64
3851,Cluster 3851,63
3852,Cluster 3852,63
3853,Cluster 3853,63
3854,Cluster 3854,63
3855,Cluster 3855,21
3856,Cluster 3856,27
